no,title,mean
1,愛上男,愛上男とは、男性を表す若者言葉です。【読み】あいうえお【意味】恋愛が上手い男性のこと。【由来】恋愛上手な男性愛上男【使用例】「あえて恋愛上手に見せないのが、愛上男のテクニックなのかもな。」
2,青歯,青歯とは、ネットで使われる若者言葉です。【意味】Bluetoothのこと。青葉と表記することも。Bluetooth：数十メートル以内で無線によるデータ通信ができる技術。【由来】BluetoothBlue（青い）tooth（歯）青歯【使用例】「青歯のマウスはしょっちゅう接続が切れるやつあるよな。」
3,あけおめ、ことよろ,あけおめ、ことよろとは年始に使う若者言葉です。【意味】年始の挨拶の略語。2つセットで使われる。あけおめあけましておめでとうことよろ今年もよろしく主にメールやツイッターで年始の挨拶をするときに使う。とっても砕けた言い方なので、上司などには使えない。【由来】あけましておめでとうあけおめ【使用例】（年が明けて）「あけおめ～ことよろ～。」
4,あげぽよ～☆,あげぽよは【2010年ケータイ流行語大賞銀賞】を受賞した言葉。【意味】テンションアゲアゲ（気分が高揚している状態）という【意味】のギャル語。関連語：テンアゲ、テンサゲ【由来】「アゲアゲ～↑」の後ろの「あげ」が「ぽよ」に変化。「ぽよ」は接尾語なので、特に【意味】はない。【使用例】文頭で使うときは「あげぽよ～☆」と☆を使うことが多い。「あげぽよ～☆渋谷でモデルの○○ちゃん見ちゃったー！」類似語・らぶぽよ→ラブラブ・さげぽよ→【あげぽよ】の反意語・やばぽよ→やばい（困っている）ときに使います
5,アシメ,【意味】アシメとは、アシンメトリーの略。左右非対称。左右で長さ・スタイルが違う髪型のこと。アシメの芸能人：サッカーの内田篤人選手、NON STYLEの井上裕介さんなど関連語：2ブロ【由来】アシンメトリーアシメ【使用例】「ここらで俺もアシメにしようと思う。」
6,あぼーん,あぼーんとは、ネットで使われる若者言葉です。【意味】削除された、壊れた、廃棄された、という【意味】。もとは２ちゃんねるで不適切なものを削除した後の痕跡として使われていた。ネット動画でも「この動画は削除されました」という【意味】で使われる。【由来】「消されてa bone（骨、骸）になる」に【由来】するというのが有力説。【使用例】「昨日テレビがあぼーんしちゃったよ（泣）」
7,あごう、わず,【意味】「～した」「～に行った」過去を【意味】するツイッター語。cf.なうの反意語。【由来】英語の【ago】【was】【使用例】「カラオケわず」⇒カラオケ行ってた「白川郷あごう」⇒白川郷に行ったことがある※【わず】よりも【あごう】の方が、昔感が強い傾向があります。
8,朝活,朝活（あさかつ）とは、時間管理術のひとつです。【意味】朝に活動すること。仕事前に動くことで、朝の時間を有効活用できる。主な朝活としては、ジム・フィットネスクラブ、勉強会、習い事などがある。朝活動的になると頭がスッキリし、仕事も捗るということで、ビジネスマン・ビジネスウーマンに人気。【由来】朝に活動朝活【使用例】「朝活すると、規則正しい生活になるからおすすめですよ。」「欧米では朝活は、できるビジネスマンには常識らしい。」
9,アナザーなら死んでた,【意味】Anotherなら死んでたとは、主にアニメ動画のコメントで使われる言葉。アニメ「Another」では、些細なこと（転ぶ、ツッコミで小突かれるなど）が死に直結することから、他のアニメでそういったシーンがあるとコメントされる。【由来】それがもしアナザーだったら死んでたアナザーなら死んでた【使用例】A「さっき鉄棒から落ちて呼吸困難になったよ。」B「アナザーなら死んでた。」
10,アニオリ、オリスト,【意味】アニオリとは、アニメオリジナルの略。原作にはない、アニメオリジナルのストーリーやキャラクターのこと。オリジナルストーリー（オリスト）やアニオリキャラが出ると、原作厨（原作を至高としアニメ等の派生作品を嫌う人）からの批判が多くなる傾向がある。【由来】アニメオリジナルアニオリ【使用例】「来週はアニオリ回らしいぞ。」
11,アラシック,"アラシックは【2010年ケータイ流行語大賞トップテン】にノミネートされた若者言葉。女子中高生を中心に使用されます。【意味】①嵐を病みつきになるほど好きな人のこと。嵐のファン。嵐病（ARASICK）②嵐のアルバム名↓（ARASHIC）【由来】ジャニーズ事務所の5人組アイドルグループ""嵐""のアルバム名とSICKをもじったもの。【使用例】①「嵐の仲の良さを見てたら、ついにアラシックになっちゃった。」②「アラシックめちゃくちゃ聞き応えあるよね～」関連商品5×10 All the BEST! CLIPS 1999-2009 [DVD]posted with amazlet at 10.12.17ジェイ・ストーム (2009-10-28)売り上げランキング: 64Amazon.co.jp で詳細を見るARASHIC(初回限定盤)(DVD付)posted with amazlet at 10.12.17嵐 ジェイ・ストーム (2006-07-05)売り上げランキング: 32032Amazon.co.jp で詳細を見る"
12,イクジイ,イクジイとは、流行語大賞2012にノミネートされた言葉です。【意味】孫の子育てを積極的にサポートする老年男性（おじいちゃん）のこと。また、ボランティア指導員など、孫以外の子供をサポートする老年男性に使うことも。育児と爺の合成語で育爺。関連語:イクメン【由来】育児　+　爺イクジイ【使用例】「最近は少子高齢化だからイクジイも多いよね。」
13,イクメン,イクメンは【2010年流行語大賞トップ10】を受賞した言葉で、若者以外でも使用頻度が高い。【意味】育児を率先して行う男性や、楽しんでする男性のこと。関連語：イクジイ、イケダン【由来】イクジメンズの頭文字をとって。※イケメンになぞらえてますが、イクメンはイケメンである必要はありません。【使用例】「夫がイクメンだと女性は助かるよね～」☞イクメンプロジェクト進行中【イクメンを増やして社会をより良いものにして行こう】という計画のこと。具体的には、・男性の育児休暇を取りやすく・育児休暇が出世や昇給などに響かないようにする、というもの。
14,イケダン,イケダンとは、男性を表す言葉です。【意味】イケてる旦那、という【意味】。イケダンの条件としては、『ファッションに気を遣う』『仕事ができて家族も大事にする』『家事を手伝ってくれる』などがある。類似語:イクメン【由来】イケてる旦那の略イケダン　女性誌「VERY（光文社）」の造語とされている。【使用例】「結婚相手はイケダンになりそうな人がいいよね～。」
15,イケニート,"【意味】イケニートとは、イケメンなニートのこと。ネットでは主に、""カゲロウプロジェクト（ボーカロイドプロデューサーじん(自然の敵P) の楽曲の総称）""の主人公『如月シンタロー』を指す。関連語：ネオニート、ヒキニート【由来】イケメン　+　ニートイケニート【使用例】「ニート増えてるからイケニートもけっこういるらしいね。」"
16,イケボ,【意味】イケボとは、イケメンボイスの略。女性を魅了するイケメンのような声のことだが、本人がイケメンである必要はない。ネットではコメント（イケボ）という形で使われることもある。【由来】イケメンボイスイケボ【使用例】「好きだぜ（イケボ）」
17,イタい,【意味】イタいとは、非常識な言動をする人に対して不憫、みじめに思うこと。KYな発言をしたり、変な格好をしたり、当人は気づかずにイタいことをしている場合が多い。当初はネットスラングだったが、今では一般に浸透している。DQNとほぼ同意。【由来】見ていて痛々しい（=可哀想）痛いイタい【使用例】「彼女が意外とイタかった。」
18,いちきた,【意味】いちきたとは、一時帰宅の略。女子中高生ケータイ流行語大賞2012で14位になった言葉。【由来】一時帰宅（いちじきたく）→　いちきた【使用例】「いちきたしてから行くわ」
19,イノヘッド,イノヘッドとは、高校生が使う若者言葉です。【意味】京王井の頭線のこと。【由来】井の（イノ）+　頭（ヘッド）→　井の頭【使用例】A「下北沢ってどうやって行くの？」B「渋谷からイノヘッドで行けるよ。」
20,胃袋婚,胃袋婚とは、結婚に関する若者言葉です。【意味】相手の胃袋をつかんだことが結婚につながった、ということ。料理が決め手になった結婚。【由来】タレントの小森純さんが結婚会見のときに使い、話題になりました。【使用例】「胃袋婚で結婚するカップル多いよね。」
21,イミフ（意味不）,イミフとは、若い女性が使う若者言葉です。【意味】【意味】不明、という【意味】。ソフトバンクのCMで話題に。関連語：てへぺろ☆(・ω【由来】【意味】不明を略してイミフ【使用例】「相対性理論とか超イミフ。」
22,インスコ,"【意味】インスコとは、インストールのこと。インストールは、WEBやCD-ROM等からプログラムをパソコンに取り込み、使用可能な状態にする作業。ここから派生し、反意語のアンインストールを『アンインスコ』『ウンインスコ』と言うこともある。【由来】インストールを""インスコール""と誤入力されたのが略されてインスコ【使用例】「最近のPCはインスコ速くて助かるわ。」"
23,うぇーい,"【意味】うぇーいとは、主に男子中高生が「よう」「やあ」などの挨拶や返事の【意味】で使う言葉。女子中高生ケータイ流行語2010で8位になった。ネットでは、相手を茶化したり煽ったりするときに使う。その際には、「うぇーいww」と""wwww""が語尾につくことが多い。【由来】『イェーイ』が変化したものと思われる【使用例】学校で会ったとき　A「うぇーい」B「うぇーい」返事として　A「じゃあ明日10時にハチ公前集合な。」B「うぇーい」"
24,ウエシマ作戦,"ウエシマ作戦とは、主にツイッターで使われている若者言葉です。3.11東北地方太平洋沖地震により起こった""買い占め""に警鐘を鳴らすもの。【意味】食糧やガソリンなどの買い占めをやめよう、というメッセージ。【由来】お笑いトリオ、ダチョウ倶楽部の上島竜兵さんの【ウエシマ】と先の節電計画【ヤシマ作戦】をかけたもの。ダチョウ倶楽部の代表的なギャグ「じゃあ俺がやるよ」「どうぞどうぞ」から譲り合いの精神を持っていこう、というもの。【使用例】A「譲ってくれてありがとう。」B「ウエシマ作戦中ですから。」"
